id,name,category,description
0,Weeds,Basic,"A bunch of obnoxious weeds."
2,Stone,Basic,"A useful material when broken with the Pickaxe."
4,Stone,Basic,"A useful material when chopped with the axe."
16,Wild Horseradish,Basic -81,"A spicy root found in the spring."
18,Daffodil,Basic -81,"A traditional spring flower that makes a nice gift."
20,Leek,Basic -81,"A tasty relative of the onion."
22,Dandelion,Basic -81,"Not the prettiest flower, but the leaves make a good salad."
24,Parsnip,Basic -75,"A spring tuber closely related to the carrot. It has an earthy taste and is full of nutrients."
30,Lumber,Basic,"A versatile resource used for building and fuel."
60,Emerald,Minerals -2,"A precious stone with a brilliant green color."
62,Aquamarine,Minerals -2,"A shimmery blue-green gem."
64,Ruby,Minerals -2,"A precious stone that is sought after for its rich color and beautiful luster."
66,Amethyst,Minerals -2,"A purple variant of quartz."
68,Topaz,Minerals -2,"Fairly common but still prized for its beauty."
70,Jade,Minerals -2,"A pale green ornamental stone."
71,Trimmed Lucky Purple Shorts,Quest,"Purple silk shorts trimmed in luxurious gold..."
72,Diamond,Minerals -2,"A rare and valuable gem."
74,Prismatic Shard,Minerals -2,"A very rare and powerful substance with unknown origins."
75,Stone,Basic,"..."
76,Stone,Basic,"..."
77,Stone,Basic,"..."
78,Cave Carrot,Basic -81,"A starchy snack found in caves. It helps miners work longer."
79,Secret Note,asdf,"It's old and crumpled, but if you look closely you can make out the details..."
80,Quartz,Minerals -2,"A clear crystal commonly found in caves and mines."
82,Fire Quartz,Minerals -2,"A glowing red crystal commonly found near hot lava."
84,Frozen Tear,Minerals -2,"A crystal fabled to be the frozen tears of a yeti."
86,Earth Crystal,Minerals -2,"A resinous substance found near the surface."
88,Coconut,Basic -79,"A seed of the coconut palm. It has many culinary uses."
90,Cactus Fruit,Basic -79,"The sweet fruit of the prickly pear cactus."
92,Sap,Basic -81,"A fluid obtained from trees."
93,Torch,Crafting,"Provides a modest amount of light."
94,Spirit Torch,Crafting,"It's unclear where the blue color comes from..."
95,Stone,Basic,"Contains radioactive ore"
96,Dwarf Scroll I,Arch,"A yellowed scroll of parchment filled with dwarven script. This one's tied with a red bow."
97,Dwarf Scroll II,Arch,"A yellowed scroll of parchment filled with dwarven script. This one's tied with a green ribbon."
98,Dwarf Scroll III,Arch,"A yellowed scroll of parchment filled with dwarven script. This one's tied with a blue rope."
99,Dwarf Scroll IV,Arch,"A yellowed scroll of parchment filled with dwarven script. This one's tied with a golden chain."
100,Chipped Amphora,Arch,"An ancient vessel made of ceramic material. Used to transport both dry and wet goods."
101,Arrowhead,Arch,"A crudely fashioned point used for hunting."
102,Lost Book,asdf,"Writings from a wide variety of time periods."
103,Ancient Doll,Arch,"An ancient doll covered in grime. This doll may have been used as a toy, a decoration, or a prop in some kind of ritual."
104,Elvish Jewelry,Arch,"Dirty but still beautiful. On the side is a flowing script thought by some to be the ancient language of the elves. No Elvish bones have ever been found."
105,Chewing Stick,Arch,"Ancient people chewed on these to keep their teeth clean."
106,Ornamental Fan,Arch,"This exquisute fan most likely belonged to a noblewoman. Historians believe that the valley was a popular sixth-era vacation spot for the wealthy."
107,Dinosaur Egg,Arch,"A giant dino egg... The entire shell is still intact!"
108,Rare Disc,Arch,"A heavy black disc studded with peculiar red stones. When you hold it, you're overwhelmed with a feeling of dread."
109,Ancient Sword,Arch,"It's the remains of an ancient sword. Most of the blade has turned to rust, but the hilt is very finely crafted."
110,Rusty Spoon,Arch,"A plain old spoon, probably ten years old. Not very interesting."
111,Rusty Spur,Arch,"An old spur that was once attached to a cowboy's boot. People must have been raising animals in this area for many generations."
112,Rusty Cog,Arch,"A well preserved cog that must have been part of some ancient machine. This could be dwarven technology."
113,Chicken Statue,Arch,"It's a statue of a chicken on a bronze base. The ancient people of this area must have been very fond of chickens."
114,Ancient Seed,Arch,"It's a dry old seed from some ancient plant. By all appearances it's long since dead..."
115,Prehistoric Tool,Arch,"Some kind of gnarly old digging tool."
116,Dried Starfish,Arch,"A starfish from the primordial ocean. It's an unusually pristine specimen!"
117,Anchor,Arch,"It may have belonged to ancient pirates."
118,Glass Shards,Arch,"A mixture of glass shards smoothed by centuries of ocean surf. These could have belonged to an ancient mosaic or necklace."
