id,name,description
0,Rusty Sword,"A rusty, dull old sword."
1,Silver Saber,"Plated with silver to deter rust."
2,Dark Sword,"It's glowing with vampire energy."
3,Holy Blade,"It feels hopeful to wield."
4,Galaxy Sword,"It's unlike anything you've ever seen."
5,Bone Sword,"A very light piece of sharpened bone."
6,Iron Edge,"A heavy broadsword."
7,Templar's Blade,"It once belonged to an honorable knight."
8,Obsidian Edge,"It's incredibly sharp."
9,Lava Katana,"A powerful blade forged in a pool of churning lava."
10,Claymore,"It's really heavy."
11,Steel Smallsword,"A standard metal blade."
12,Wooden Blade,"Not bad for a piece of carved wood."
13,Insect Head,"Not very pleasant to wield."
14,Neptune's Glaive,"An heirloom from beyond the Gem Sea."
15,Forest Sword,"Made powerful by forest magic."
16,Carving Knife,"A small, light blade."
17,Iron Dirk,"A common dagger."
18,Burglar's Shank,"A weapon of choice for the swift and silent."
19,Shadow Dagger,"When you hold the blade to your ear you can hear 1,000 souls shrieking."
20,Elf Blade,"Only the nimble hands of an elf could craft this."
21,Crystal Dagger,"The blade is made of purified quartz."
22,Wind Spire,"A swift little blade."
23,Galaxy Dagger,"It's unlike anything you've seen."
24,Wood Club,"A solid piece of wood, crudely chiseled into a club shape."
25,Alex's Bat,"The sweet spot is dented from Alex's famous Grand Slam."
26,Lead Rod,"It's incredibly heavy."
27,Wood Mallet,"The solid head packs a punch. Relatively light for a club."
28,The Slammer,"An extremely heavy gavel that'll send foes flying."
29,Galaxy Hammer,"It's made from an ultra-light material you've never seen before."
30,Sam's Old Guitar,"It's seen better days."
31,Femur,"An old, heavy bone caked in centuries of grime."
32,Slingshot,"Requires stones for ammo."
33,Master Slingshot,"Requires stones for ammo."
34,Galaxy Slingshot,"It looks really powerful."
35,Elliott's Pencil,"Elliott used this to write his book. It's sharp!"
36,Maru's Wrench,"A big, metal wrench. It smells like Maru."
37,Harvey's Mallet,"It brings back memories of Harvey's clinic."
38,Penny's Fryer,"Penny's favorite frying pan. There's some rubbery gunk stuck to the inside."
39,Leah's Whittler,"Leah's favorite tool for shaping driftwood."
40,Abby's Planchette,"It's made from fine marblewood."
41,Seb's Lost Mace,"One of Sebastian's medieval replicas."
42,Haley's Iron,"It's searing hot and smells like Haley's hair."
43,Pirate's Sword,"It looks like a pirate owned this once."
44,Cutlass,"A finely crafted blade."
45,Wicked Kris,"The blade is made of an iridium alloy."
46,Kudgel,"A brute's companion."
47,Scythe,"It can cut grass into hay, if you've built a silo."
48,Yeti Tooth,"It's icy cold to the touch."
49,Rapier,"An elegant blade."
50,Steel Falchion,"Light and powerful."
51,Broken Trident,"It came from the sea, but it's still sharp."
52,Tempered Broadsword,"It looks like it could withstand anything."
53,Golden Scythe,"It's more powerful than a normal scythe."
54,Dwarf Sword,"It's ancient, but the blade never dulls."
55,Dwarf Hammer,"It emits a very faint whirring sound."
56,Dwarf Dagger,"It's ancient, but the blade never dulls."
57,Dragontooth Cutlass,"The blade was forged from a magical tooth."
58,Dragontooth Club,"This club was crafted from a magical tooth."
59,Dragontooth Shiv,"The blade was forged from a magical tooth."
60,Ossified Blade,"A large, sharp blade formed from bone."
61,Iridium Needle,"The point is unbelievably sharp, even down to the atomic level."
62,Infinity Blade,"The true form of the Galaxy Sword."
63,Infinity Gavel,"The true form of the Galaxy Hammer."
64,Infinity Dagger,"The true form of the Galaxy Dagger."
