id,name,description
0,Cowboy Hat,"The leather is old and cracked, but surprisingly supple. It smells musty."
1,Bowler Hat,"Made from smooth felt."
2,Top Hat,"A gentleman's classic."
3,Sombrero,"A festively decorated hat made from woven straw."
4,Straw Hat,"Light and cool, it's a farmer's delight."
5,Official Cap,"Looks like it belonged to a postman or policeman. Either way, it's still very soft and smells okay."
6,Blue Bonnet,"Harken back to simpler times with this prairie bonnet."
7,Plum Chapeau,"Looks alright."
8,Skeleton Mask,"The red eyes are glowing mysteriously."
9,Goblin Mask,"Freak out the neighborhood with this creepy mask. Rubber ear joints for effect."
10,Chicken Mask,"You'll be sure to get them grinning with this one."
11,Earmuffs,"Keep your ears toasty. Lined with artisanal velvet from Castle Village."
12,Delicate Bow,"Little pink jewels glisten as you examine it."
13,Tropiclip,"It's shaped like a little palm tree."
14,Butterfly Bow,"This one is very soft."
15,Hunter's Cap,"The wool lining should stay warm deep into the forest."
16,Trucker Hat,"Mesh in the back to keep your head cool."
17,Sailor's Cap,"It's fresh and starchy."
18,Good Ol' Cap,"A floppy old topper with a creased bill. Looks like it's been through a lot."
19,Fedora,"A city-slicker's standard."
20,Cool Cap,"It looks really faded, but it used to be a vibrant blue."
21,Lucky Bow,"The middle is made of solid gold."
22,Polka Bow,"This one's sure to be turn heads."
23,Gnome's Cap,"This gnome had a very large head."
24,Eye Patch,"You can't tell if it's real or just from a costume shop."
25,Santa Hat,"Celebrate the magical season."
26,Tiara,"This one has a big amethyst encircled by gold."
27,Hard Hat,"Keep your dome in one piece."
28,Sou'wester,"The shape helps to keep sailors dry during storms."
29,Daisy,"A fresh spring daisy to put in your hair."
30,Watermelon Band,"The color scheme was inspired by the beloved summer melon."
31,Mouse Ears,"Made from synthetic fibers."
32,Cat Ears,"Whiskers included."
33,Cowgal Hat,"The band is studded with fake diamonds."
34,Cowpoke Hat,"For dairy experts."
35,Archer's Cap,"Fashionable whether you're an archer or not."
36,Panda Hat,"A lovely panda hat."
37,Blue Cowboy Hat,"A denim cowboy hat in cool blue."
38,Red Cowboy Hat,"An eye-catching cowboy hat in red suede."
39,Cone Hat,"A curiosity from a distant land."
40,Living Hat,"It absorbs moisture from your scalp. No watering needed!"
41,Emily's Magic Hat,"Made with love by Emily. It's 100% organic!"
42,Mushroom Cap,"It smells earthy."
43,Dinosaur Hat,"A hat fashioned to look like a small dinosaur."
44,Totem Mask,"Don't worry, it won't warp your face..."
45,Logo Cap,"A red cap with a logo on the front."
46,Wearable Dwarf Helm,"A slightly larger, human sized version of the helmets worn by dwarves."
47,Fashion Hat,"A fashionable hat with a feather in the brim."
48,Pumpkin Mask,"This must have been a pretty big pumpkin once..."
49,Hair Bone,"A prehistoric version of the hair bow."
50,Knight's Helmet,"It looks just like the real thing!"
51,Squire's Helmet,"The face is exposed to increase air flow."
52,Spotted Headscarf,"A red polka-dot scarf tied around the head."
53,Beanie,"A warm hat with a pretty tight fit."
54,Floppy Beanie,"A warm hat with a looser fit."
55,Fishing Hat,"The wide brim keeps you shaded when you're fishing on the riverbank."
56,Blobfish Mask,"Just as spongy as the real thing!"
57,Party Hat,"A goofy red hat that makes any celebration more fun."
58,Party Hat,"A goofy blue hat that makes any celebration more fun."
59,Party Hat,"A goofy green hat that makes any celebration more fun."
60,Arcane Hat,"The type of cowboy hat worn by a wizard."
61,Chef Hat,"The traditional hat worn by a head chef."
62,Pirate Hat,"A captain's hat with a horrible skull on the front."
63,Flat Topped Hat,"An old style of hat once considered very fashionable."
64,Elegant Turban,"A fine black silk turban with gold trim."
65,White Turban,"A fine white silk turban with blue trim."
66,Garbage Hat,"It's a garbage can lid 'upcycled' into a hat..."
67,Golden Mask,"A faithful recreation of the Calico Desert relic!"
68,Propeller Hat,"A goofy hat with a propeller on top."
69,Bridal Veil,"The traditional headwear for a bride."
70,Witch Hat,"A pointy hat popular with witches."
71,Copper Pan,"You place the copper pan on your head..."
72,Green Turban,"A green silk turban with a gold ornament on the front."
73,Magic Cowboy Hat,"It's shimmering with prismatic energy"
74,Magic Turban,"It's shimmering with prismatic energy"
75,Golden Helmet,"It's half of a golden coconut."
76,Deluxe Pirate Hat,"Only the most infamous pirate could pull off this look."
77,Pink Bow,"This huge bow makes quite a statement!"
78,Frog Hat,"A slimy friend that lives on your dome."
79,Small Cap,"It's a more aerodynamic style of cap."
80,Bluebird Mask,"Wear this to look just like your favorite island trader."
81,Deluxe Cowboy Hat,"A cowboy hat with a more extreme shape."
82,Mr. Qi's Hat,"A replica of Mr. Qi's iconic hat."
83,Dark Cowboy Hat,"A cowboy hat in fashionable black."
84,Radioactive Goggles,"Doesn't actually provide any protection from radiation."
85,Swashbuckler Hat,"The classic swashbuckler look."
86,Qi Mask,"???"
87,Star Helmet,"A red hat with stars on it."
88,Sunglasses,"These give you a relaxed look."
89,Goggles,"These will make you look very safe."
90,Forager's Hat,"It's a forager's delight."
91,Tiger Hat,"Makes you look like a beautiful tiger."
92,???,"???"
93,Warrior Helmet,"An Ostrich eggshell repurposed into a helmet."
