id,name,description
504,Sneakers,"A little flimsy... but fashionable!"
505,Rubber Boots,"Protection from the elements."
506,Leather Boots,"The leather is very supple."
507,Work Boots,"Steel-toed for extra protection."
508,Combat Boots,"Reinforced with iron mesh."
509,Tundra Boots,"The fuzzy lining keeps your ankles so warm."
510,Thermal Boots,"Designed with extreme weather in mind."
511,Dark Boots,"Made from thick black leather."
512,Firewalker Boots,"It's said these can withstand the hottest magma."
513,Genie Shoes,"A curious energy permeates the fabric."
514,Space Boots,"An iridium weave gives them a purple sheen."
515,Cowboy Boots,"It's the height of country fashion."
804,Emily's Magic Boots,"Made with love by Emily. 100% compostable!"
806,Leprechaun Shoes,"The buckle's made of solid gold."
853,Cinderclown Shoes,"These magic shoes belonged to a famous Dwarvish jester."
854,Mermaid Boots,"Mermaid scales gives these boots a protective aura."
855,Dragonscale Boots,"These shimmering boots are extremely tough."
878,Crystal Shoes,"These sparkling shoes will keep your feet very safe."
